date,hour,open,high,low,close,volume,ohlc4,SMA48,average_true_range,EMA9,EMA48,10x short,25x short,50x short,100x short,10x long,25x long,50x long,100x long
2021-01-01 05:00:00,5.0,29280.5,29296.0,29146.5,29240.0,5523794.57695,29240.75,,,29240.75,29240.75,32310.220994475134,30301.295336787563,29686.040609137057,29390.6721153358,26703.881278538815,28251.93236714976,28808.620689655174,29092.349630671826
2021-01-01 06:00:00,6.0,29240.0,29315.0,29127.5,29231.0,7436046.7917,29228.375,,,29238.275,29240.244897959183,32307.4861878453,30298.730569948188,29683.527918781725,29388.18442560536,26701.621004566212,28249.54106280193,28806.18226600985,29089.887191598413
2021-01-01 07:00:00,7.0,29231.0,29241.5,28887.0,29168.0,8430755.41455,29131.875,,,29216.995000000003,29235.82163681799,32283.972375690606,30276.67875647669,29661.923857868023,29366.79531955937,26682.187214611877,28228.98067632851,28785.21674876848,29068.71519019145
2021-01-01 08:00:00,8.0,29168.0,29251.0,28928.5,29061.0,7003066.8362,29102.125,,,29194.021000000004,29230.36463123358,32258.58674033149,30252.87150259068,29638.600000000006,29343.703528097874,26661.20639269407,28206.78357487923,28762.582266009857,29045.857786040906
2021-01-01 09:00:00,9.0,29061.0,29379.5,29041.5,29275.0,5764369.83265,29189.25,,,29193.066800000008,29228.686483019963,32257.53237569061,30251.882694300526,29637.63126903554,29342.74443575817,26660.334977168957,28205.86164251208,28761.64216748769,29044.908428722185
2021-01-01 10:00:00,10.0,29275.0,29414.5,29226.5,29309.5,9315498.2924,29306.375,,,29215.72844000001,29231.8574428967,32282.572861878463,30275.366259067367,29660.638010152295,29365.52226569877,26681.0305388128,28227.756946859914,28783.968906403952,29067.45505813779
2021-01-01 11:00:00,11.0,29309.5,29486.0,29284.5,29380.0,7180222.2362,29365.0,,,29245.58275200001,29237.291832982548,32315.56105193371,30306.303369948197,29690.946956345186,29395.529645646995,26708.29475068494,28256.601692753633,28813.382021674886,29097.15785586655
2021-01-01 12:00:00,12.0,29380.0,29691.5,29232.0,29300.5,12856443.56425,29401.0,,,29276.66620160001,29243.97379898326,32349.90740508288,30338.51419854923,29722.503757969553,29426.772465185044,26736.681462648412,28286.634011207738,28844.006109950747,29128.083553172215
2021-01-01 13:00:00,13.0,29300.5,29543.5,29274.0,29535.0,3070330.79355,29413.25,,,29303.98296128001,29250.883031677822,32380.09166992266,30366.821721533688,29750.236508913717,29454.22928236683,26761.628275141564,28313.02701572948,28870.919173674887,29155.261676968203
2021-01-01 14:00:00,14.0,29535.0,29606.5,29346.0,29395.0,5533512.2105,29470.625,,,29337.31136902401,29259.852091609337,32416.91863980553,30401.358931631097,29784.072455861937,29487.728570317042,26792.065177190878,28345.228375868606,28903.755043373407,29188.42093898173
2021-01-01 15:00:00,15.0,29395.0,29456.0,29093.0,29252.5,5428758.34115,29299.125,,,29329.67409521921,29261.455067462015,32408.479663225644,30393.44465825825,29776.318878395137,29480.052138958337,26785.09049791709,28337.849367361556,28896.23063568395,29180.822425272116
2021-01-01 16:00:00,16.0,29252.5,29427.5,29190.0,29372.0,4395273.91095,29310.5,,,29325.83927617537,29263.456901443154,32404.24229411643,30389.47075251334,29772.42566109175,29476.19765816906,26781.58838006883,28334.144228188765,28892.452488842733,29177.00706840221
2021-01-01 17:00:00,17.0,29372.0,29420.5,29011.0,29138.5,7396750.33005,29235.5,,,29307.7714209403,29262.315803425066,32384.277813193698,30370.747586466634,29754.082660853095,29458.037166080405,26765.08805565324,28316.687363227342,28874.651646246602,29159.030909734083
2021-01-01 18:00:00,18.0,29138.5,29322.0,28700.0,29134.5,12498198.8256,29073.75,,311.64285714285717,29260.96713675224,29254.619240019958,32332.560372101918,30322.245737567086,29706.56562106826,29410.992908660046,26722.344417125332,28271.46583261086,28828.539050987427,29112.464162991524
2021-01-01 19:00:00,19.0,29134.5,29191.0,29009.5,29104.0,7682271.1892,29109.75,,313.92857142857144,29230.723709401795,29248.70620981506,32299.142220333473,30290.905398343828,29675.861633910452,29380.59441830324,26694.724848768765,28242.24512985681,28798.742570839207,29082.374224720144
2021-01-01 20:00:00,20.0,29104.0,29356.5,28962.0,29277.0,3993445.11225,29174.875,,328.7142857142857,29219.55396752144,29245.692691047097,32286.799964112084,30279.330536291644,29664.52179443801,29369.367407326485,26684.52417125246,28231.453108716363,28787.7378990359,29071.261170640897
2021-01-01 21:00:00,21.0,29277.0,29375.0,29230.0,29236.5,3396636.5194,29279.625,,313.75,29231.568174017153,29247.077683249252,32300.07533040569,30291.780491209483,29676.718958393045,29381.443212627015,26695.496049330734,28243.06103769773,28799.574555681924,29083.214403574675
2021-01-01 22:00:00,22.0,29236.5,29399.5,29193.0,29344.0,1798021.42915,29293.25,,305.4642857142857,29243.904539213727,29248.962267606425,32313.706673164335,30304.564289340648,29689.243187019012,29393.842828388842,26706.762136268244,28254.980231124373,28811.728610062783,29095.488160214652
